task,horizon/model_name,config_name,use_history,use_player_identity,use_clock,C,roc_auc,log_loss,brier,accuracy,white_mae,black_mae,avg_mae,white_rmse,black_rmse,white_r2,black_r2,algorithm,params_json,feature_set
classification,white_win_before,production_logreg_C1.0,False,False,False,1.0,0.5464225140712946,0.6855994377888326,0.24660781277467084,0.522,,,,,,,,production,{},production_logreg_C1.0
classification,white_win_after_3,production_logreg_identity_C0.25,False,True,False,0.25,0.5452878048780487,0.6891735321475796,0.24830665923651282,0.5235,,,,,,,,production,{},production_logreg_identity_C0.25
classification,white_win_after_10,production_logreg_identity_clock_C0.25,False,True,True,0.25,0.5771687304565353,0.6863129287971862,0.24667526967470177,0.55,,,,,,,,production,{},production_logreg_identity_clock_C0.25
regression,elo_after_10,production_ridge_history_identity,True,True,False,,,,,,147.2256961110268,148.9867313576874,148.10621373435708,195.40269248867727,197.28985127858923,0.7191968693570007,0.7137632152354034,production,{},production_ridge_history_identity
classification,white_win_before,lightgbm_conservative_before_history,True,False,False,,0.5486068792995622,0.6930016694126473,0.24972527148609316,0.535,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",before_history
classification,white_win_before,lightgbm_balanced_before_history,True,False,False,,0.5256435272045028,0.7347289757217428,0.26670649130709034,0.5205,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",before_history
classification,white_win_before,xgboost_conservative_before_history,True,False,False,,0.547915947467167,0.6906073205743153,0.24857039060328423,0.5315,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_before,xgboost_balanced_before_history,True,False,False,,0.5447079424640401,0.7128217995436873,0.2575076108811596,0.544,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_after_3,lightgbm_conservative_after3_enhanced,False,False,False,,0.5541058161350845,0.6887487744586012,0.24763239468355538,0.535,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,lightgbm_balanced_after3_enhanced,False,False,False,,0.5527094434021262,0.7072461242738575,0.2548340891058837,0.5315,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,xgboost_conservative_after3_enhanced,False,False,False,,0.5556262664165104,0.6877661352874276,0.24720023170535108,0.532,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_3,xgboost_balanced_after3_enhanced,False,False,False,,0.5463024390243902,0.7009016176104483,0.2527520383339398,0.533,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_10,lightgbm_conservative_after10_enhanced_clock,False,False,True,,0.5906311444652907,0.6777808790178239,0.24240453879237786,0.5555,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,lightgbm_balanced_after10_enhanced_clock,False,False,True,,0.579827392120075,0.6950294139884313,0.24987293675652583,0.5465,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,xgboost_conservative_after10_enhanced_clock,False,False,True,,0.5917358348968105,0.6776693738407545,0.2423762619528583,0.5585,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after10_enhanced_clock
classification,white_win_after_10,xgboost_balanced_after10_enhanced_clock,False,False,True,,0.5812672920575359,0.6887606265186639,0.2473032642599783,0.5445,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after10_enhanced_clock
regression,elo_after_10,lightgbm_conservative_elo_enhanced_history,True,False,False,,,,,,89.38482734372522,92.8613702092637,91.12309877649446,155.24343124049028,159.74294279696875,0.8227577215398415,0.8123453564374589,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",elo_enhanced_history
regression,elo_after_10,lightgbm_balanced_elo_enhanced_history,True,False,False,,,,,,93.06261351558933,95.881181287449,94.47189740151916,154.9389480394878,158.43537024882306,0.8234523000105474,0.815404869580482,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",elo_enhanced_history
regression,elo_after_10,xgboost_conservative_elo_enhanced_history,True,False,False,,,,,,97.04800415039062,100.43321990966797,98.7406120300293,160.45814534092685,164.392899453185,0.8106504082679749,0.8012614846229553,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",elo_enhanced_history
regression,elo_after_10,xgboost_balanced_elo_enhanced_history,True,False,False,,,,,,91.32699584960938,95.09133911132812,93.20916748046875,153.66690462856664,157.33466023893146,0.8263393044471741,0.8179608583450317,xgboost,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",elo_enhanced_history
